A_location	A_lockdown	B_location	B_lockdown	FDR	A_time	B_time	significance
KRAKOW	TRUE	WIELICZKA	TRUE	0.380769230769231	0800_1200	0000_0400	FALSE
NIEPOLOMICE	FALSE	WIELICZKA	TRUE	0.522197802197802	0800_1200	0000_0400	FALSE
NIEPOLOMICE	TRUE	WIELICZKA	TRUE	0.380769230769231	0800_1200	0000_0400	FALSE
WIELICZKA	FALSE	WIELICZKA	TRUE	0.192810344229903	0800_1200	0000_0400	FALSE
WIELICZKA	TRUE	WIELICZKA	TRUE	0.380769230769231	0800_1200	0000_0400	FALSE
KRAKOW	FALSE	WIELICZKA	TRUE	0.199650816473246	1200_1600	0000_0400	FALSE
KRAKOW	TRUE	WIELICZKA	TRUE	0.380769230769231	1200_1600	0000_0400	FALSE
NIEPOLOMICE	FALSE	WIELICZKA	TRUE	0.950918339610919	1200_1600	0000_0400	FALSE
NIEPOLOMICE	TRUE	WIELICZKA	TRUE	0.61808046423431	1200_1600	0000_0400	FALSE
WIELICZKA	FALSE	WIELICZKA	TRUE	0.522197802197802	1200_1600	0000_0400	FALSE
WIELICZKA	TRUE	WIELICZKA	TRUE	0.844030969030969	1200_1600	0000_0400	FALSE
KRAKOW	FALSE	WIELICZKA	TRUE	0.192762651361377	1600_2000	0000_0400	FALSE
KRAKOW	TRUE	WIELICZKA	TRUE	0.380769230769231	1600_2000	0000_0400	FALSE
NIEPOLOMICE	FALSE	WIELICZKA	TRUE	0.544386048733875	1600_2000	0000_0400	FALSE
NIEPOLOMICE	TRUE	WIELICZKA	TRUE	1	1600_2000	0000_0400	FALSE
WIELICZKA	FALSE	WIELICZKA	TRUE	0.197802197802198	1600_2000	0000_0400	FALSE
WIELICZKA	TRUE	WIELICZKA	TRUE	0.61808046423431	1600_2000	0000_0400	FALSE
KRAKOW	FALSE	WIELICZKA	TRUE	0.192810344229903	2000_0000	0000_0400	FALSE
KRAKOW	TRUE	WIELICZKA	TRUE	0.61808046423431	2000_0000	0000_0400	FALSE
NIEPOLOMICE	FALSE	WIELICZKA	TRUE	1	2000_0000	0000_0400	FALSE
NIEPOLOMICE	TRUE	WIELICZKA	TRUE	1	2000_0000	0000_0400	FALSE
WIELICZKA	FALSE	WIELICZKA	TRUE	0.853161932407215	2000_0000	0000_0400	FALSE
WIELICZKA	TRUE	WIELICZKA	TRUE	1	2000_0000	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	FALSE	0.906802816058714	0400_0800	0400_0800	FALSE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.162577148878519	0400_0800	0400_0800	FALSE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0852799894716062	0400_0800	0400_0800	FALSE
KRAKOW	FALSE	KRAKOW	FALSE	0.0548527103148952	0800_1200	0400_0800	FALSE
