term	A_lockdown	A_region	B_lockdown	B_region	null.value	estimate	conf.low	conf.high	adj.p.value	animal	FDR	significance
92	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.0117647058823529	-0.0441757475446393	0.0206463357799334	0.901785820760801	deer	1	FALSE
93	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.0117647058823529	-0.0385130789070475	0.0149836671423416	0.802617655732596	deer	1	FALSE
94	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	-0.0117647058823529	-0.0441757475446393	0.0206463357799334	0.901785820760801	deer	1	FALSE
95	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	-0.00454545454545455	-0.031710458137511	0.0226195490466019	0.996741121323545	deer	1	FALSE
96	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	-0.00454545454545455	-0.0246187516834482	0.0155278425925391	0.986714677537989	deer	1	FALSE
97	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	-0.00454545454545455	-0.031710458137511	0.0226195490466019	0.996741121323545	deer	1	FALSE
98	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0	-0.027336935710924	0.027336935710924	1	deer	1	FALSE
99	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	0	-0.0328984530978198	0.0328984530978198	1	deer	1	FALSE
100	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	0	-0.027336935710924	0.027336935710924	1	deer	1	FALSE
101	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	-0.00442629882141536	-0.0103587042478417	0.001506106605011	0.26714405937634	dog	1	FALSE
102	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.0058091418385536	-0.0118871085553933	0.000268824878286057	0.07005229155216	dog	0.3502614577608	FALSE
103	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.007703081232493	-0.015116468996542	-0.000289693468444019	0.0365722140441491	dog	0.192004123731783	FALSE
104	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.00486861411231159	-0.0109867778959899	0.00124954967136668	0.202653134926948	dog	0.8707989339639	FALSE
105	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	-0.00621498599439776	-0.0136283737584467	0.00119840176965122	0.156627063349972	dog	0.704821785074875	FALSE
106	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	-0.00189393939393939	-0.00810739921846673	0.00431952043058794	0.951351080670003	dog	1	FALSE
107	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	0.000940527726242012	-0.00365084384821987	0.00553189930070389	0.991599487414841	dog	1	FALSE
108	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	-0.000405844155844156	-0.00661930398037149	0.00580761566868318	0.999966988944686	dog	1	FALSE
109	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.00283446712018141	-0.00341831879202741	0.00908725303239022	0.781619589789337	dog	1	FALSE
110	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.00148809523809524	-0.00603677829706505	0.00901296877325553	0.992862686204546	dog	1	FALSE
111	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	-0.00134637188208617	-0.00759915779429498	0.00490641403012265	0.989436167407649	dog	1	FALSE
112	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	0.000623484716173602	-0.00326423022187659	0.00451119965422379	0.997336251356805	domestic.cat	1	FALSE
113	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	5.7683433317951e-05	-0.00401421638478688	0.00412958325142278	0.999999983850842	domestic.cat	1	FALSE
114	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	0.00250510910409388	-0.000503778956162506	0.00551399716435026	0.162375675180568	domestic.cat	0.720399122279986	FALSE
115	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	0.000480695277649592	-0.00359120454045524	0.00455259509575442	0.999391691851494	domestic.cat	1	FALSE
116	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.00244742567077592	-0.00165024592244281	0.00654509726399466	0.520180668288217	domestic.cat	1	FALSE
117	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.000423011844331641	-0.0045083037261222	0.00535432741478548	0.999872900533806	domestic.cat	1	FALSE
118	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	-0.00202441382644428	-0.00612208541966302	0.00207325776677445	0.713031345521503	domestic.cat	1	FALSE
119	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	0	-0.0588302187753225	0.0588302187753225	1	goat	1	FALSE
120	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	0.0227272727272727	-0.0203189881148383	0.0657735335693838	0.651390662657585	goat	1	FALSE
121	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	0	-0.0602060948065035	0.0602060948065035	1	goat	1	FALSE
122	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	0	-0.0436026677453402	0.0436026677453402	1	goat	1	FALSE
123	lockdown:Gmina	TRUE	WIELICZKA	FALSE	KRAKOW	0	0	-0.0602060948065035	0.0602060948065035	1	goat	1	FALSE
124	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	0.0227272727272727	-0.0375464418890598	0.0830009873436053	0.8864312150364	goat	1	FALSE
125	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	0	-0.0735167596743336	0.0735167596743336	1	goat	1	FALSE
126	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	0	-0.0606723391313915	0.0606723391313915	1	goat	1	FALSE
127	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	0	-0.0735167596743336	0.0735167596743336	1	goat	1	FALSE
128	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	-0.0227272727272727	-0.0843446394703306	0.0388900940157851	0.895555954563503	goat	1	FALSE
129	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	-0.0227272727272727	-0.068258785627783	0.0228042401732375	0.703955496699981	goat	1	FALSE
130	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	-0.0227272727272727	-0.0843446394703306	0.0388900940157851	0.895555954563503	goat	1	FALSE
131	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0	-0.0620073539700894	0.0620073539700894	1	goat	1	FALSE
132	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	0	-0.0746223368952696	0.0746223368952696	1	goat	1	FALSE
133	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	0	-0.0620073539700894	0.0620073539700894	1	goat	1	FALSE
134	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	0.0109402251466624	-0.000930455495450146	0.022810905788775	0.089757437859582	hare	0.415788131261299	FALSE
135	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.00689781916197011	-0.0155836344781647	0.00178799615422451	0.204568638455011	hare	0.8707989339639	FALSE
136	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.00754716981132076	-0.0196954728269224	0.00460113320428092	0.475151680681499	hare	1	FALSE
137	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.00346553715825953	-0.0122636234942259	0.00533254917770684	0.866370368690889	hare	1	FALSE
138	lockdown:Gmina	TRUE	WIELICZKA	FALSE	KRAKOW	0	-0.0021900269541779	-0.0143383299697796	0.00995827606142377	0.995367399899001	hare	1	FALSE
139	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.014405762304922	-0.0266481434592278	-0.00216338115061611	0.010946867315659	hare	0.0676130040084819	FALSE
140	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	-0.0131302521008403	-0.0279643627688602	0.00170385856717956	0.115521291037239	hare	0.527379806909135	FALSE
141	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	-0.000649350649350649	-0.0130824181755518	0.0117837168768505	0.999989130927438	hare	1	FALSE
142	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	0.00343228200371058	-0.00575500405514913	0.0126195680625703	0.890344735465215	hare	1	FALSE
143	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	0.00470779220779221	-0.00772527531840889	0.0171408597339933	0.884622997594291	hare	1	FALSE
144	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.00408163265306122	-0.00843012595950613	0.0165933912656286	0.935661856040655	hare	1	FALSE
145	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.00535714285714286	-0.00970004966214546	0.0204143353764312	0.909124423573822	hare	1	FALSE
146	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	0.00127551020408163	-0.0112362484084857	0.013787268816649	0.999702957888596	hare	1	FALSE
